from_cinema,to_cinema,from_nearest_station,to_nearest_station,walk_from_cinema_to_station_min,metro_in_vehicle_min_est,walk_station_to_cinema_min,total_metro_transfer_min_est,note
UME影城（上海新天地店）,上海百丽宫影城（万象城店）,South Huangpi Road,Longbai Xincun,9.3,27.7,15.7,52.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,上海百丽宫影城（环贸iapm店）,South Huangpi Road,South Shaanxi Road,9.3,3.2,8.2,20.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,上海百丽宫影城（长宁来福士店）,South Huangpi Road,Zhongshan Park,9.3,13.2,9.2,31.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,上海百丽宫影城（陆家嘴中心店）,South Huangpi Road,Shangcheng Road,9.3,14.3,6.4,29.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,上海百美汇影城（静安嘉里中心店）,South Huangpi Road,Jing'an Temple,9.3,6.7,10.1,26.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,上海科技影城,South Huangpi Road,South Shaanxi Road,9.3,3.2,13.6,26.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,上海美琪大戏院,South Huangpi Road,West Nanjing Road,9.3,3.3,10.1,22.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,上海艺海剧院,South Huangpi Road,West Nanjing Road,9.3,3.3,17.6,30.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,世纪友谊影城（LUXE南方商城店）,South Huangpi Road,Lianhua Road,9.3,29.4,8.9,47.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,临港演艺中心,South Huangpi Road,Dishui Lake,9.3,128.2,13.6,151.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,久事·上海商城剧院,South Huangpi Road,Jing'an Temple,9.3,6.7,8.0,24.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,九棵树未来艺术中心,South Huangpi Road, Jingping Road,9.3,61.4,166.7,237.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,佰映三克映画,South Huangpi Road,Changping Road,9.3,9.6,15.1,34.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,兰心大戏院,South Huangpi Road,South Shaanxi Road,9.3,3.2,10.7,23.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,博悦汇影城(BFC外滩金融中心店),South Huangpi Road,Lujiazui,9.3,9.1,19.6,37.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,和平影都,South Huangpi Road,People's Square,9.3,2.8,6.6,18.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,嘉定影剧院,South Huangpi Road,North Jiading,9.3,72.1,28.9,110.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,国泰电影院,South Huangpi Road,South Shaanxi Road,9.3,3.2,7.2,19.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,天山电影院-宛平剧院影城,South Huangpi Road,Shanghai Stadium,9.3,14.5,15.1,39.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,天山电影院-虹桥艺术中心旗舰店,South Huangpi Road,Loushanguan Road,9.3,16.4,5.4,31.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,寰映影城（大融城店）,South Huangpi Road,Xingzhi Road,9.3,25.2,14.0,48.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,星轶STARX影剧院（上海宝山日月光店）,South Huangpi Road,Changzhong Road,9.3,30.8,12.2,52.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,曹杨影城,South Huangpi Road,Fengqiao Road,9.3,17.8,12.9,40.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,朵云轩杜比全景声影城,South Huangpi Road,Longcao Road,9.3,17.6,12.1,39.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,沪东工人文化宫东宫影剧院,South Huangpi Road,Ningguo Road,9.3,20.8,23.0,53.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
UME影城（上海新天地店）,黄浦剧场,South Huangpi Road,Qufu Road,9.3,5.5,13.0,27.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,CGV影城（松江印象城杜比ULTRA 4DX店）,Jiangwan Stadium,Songjiang University Town,8.2,96.1,22.3,126.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,CGV影城（白玉兰广场IMAX店）,Jiangwan Stadium,Tilanqiao,8.2,22.0,6.2,36.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,CGV影城（青浦天空万科广场IMAX店）,Jiangwan Stadium,East Xujing,8.2,63.9,36.5,108.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,CMG融媒影城,Jiangwan Stadium,Longhua Middle Road,8.2,38.7,16.5,63.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,MOViE MOViE影城（前滩太古里店）,Jiangwan Stadium,Oriental Sports Center,8.2,46.1,5.9,60.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,SFC上影影城（丁香路LUXE店）,Jiangwan Stadium,Middle Yanggao Road,8.2,32.8,10.1,51.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,SFC上影影城（国华广场店）,Jiangwan Stadium,Jiangwan Stadium,8.2,0.0,12.6,20.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,SFC上影影城（港汇永华IMAX激光店）,Jiangwan Stadium,Xujiahui,8.2,38.3,8.7,55.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,SFC上影百联影城（八佰伴IMAX店）,Jiangwan Stadium,Shangcheng Road,8.2,31.1,8.1,47.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,SFC动漫主题影院（美罗城店）,Jiangwan Stadium,Xujiahui,8.2,38.3,7.1,53.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,SFC永华电影荟（世纪汇店）,Jiangwan Stadium,Pudian Road,8.2,30.7,11.3,50.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,UME影城（上海新天地店）,Jiangwan Stadium,South Huangpi Road,8.2,26.5,9.3,43.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,万达影城（崇明万达广场店）,Jiangwan Stadium,North Jiangyang Road,8.2,57.9,333.7,399.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,万达影城（金山万达广场店）,Jiangwan Stadium,Minhang Development Zone,8.2,97.1,390.8,496.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海大光明电影院,Jiangwan Stadium,People's Square,8.2,23.7,9.9,41.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海市沪北电影院,Jiangwan Stadium,North Xizang Road,8.2,17.7,13.9,39.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海影城SHO,Jiangwan Stadium,Jiaotong University,8.2,36.4,8.3,52.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海百丽宫影城（万象城店）,Jiangwan Stadium,Longbai Xincun,8.2,54.2,15.7,78.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海百丽宫影城（环贸iapm店）,Jiangwan Stadium,South Shaanxi Road,8.2,29.7,8.2,46.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海百丽宫影城（长宁来福士店）,Jiangwan Stadium,Zhongshan Park,8.2,36.8,9.2,54.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海百丽宫影城（陆家嘴中心店）,Jiangwan Stadium,Shangcheng Road,8.2,31.1,6.4,45.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海百美汇影城（静安嘉里中心店）,Jiangwan Stadium,Jing'an Temple,8.2,30.4,10.1,48.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海科技影城,Jiangwan Stadium,South Shaanxi Road,8.2,29.7,13.6,51.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海美琪大戏院,Jiangwan Stadium,West Nanjing Road,8.2,27.0,10.1,45.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,上海艺海剧院,Jiangwan Stadium,West Nanjing Road,8.2,27.0,17.6,52.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,世纪友谊影城（LUXE南方商城店）,Jiangwan Stadium,Lianhua Road,8.2,55.9,8.9,73.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,临港演艺中心,Jiangwan Stadium,Dishui Lake,8.2,141.5,13.6,163.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,久事·上海商城剧院,Jiangwan Stadium,Jing'an Temple,8.2,30.4,8.0,46.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,九棵树未来艺术中心,Jiangwan Stadium, Jingping Road,8.2,87.8,166.7,262.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,佰映三克映画,Jiangwan Stadium,Changping Road,8.2,31.4,15.1,54.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,兰心大戏院,Jiangwan Stadium,South Shaanxi Road,8.2,29.7,10.7,48.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,博悦汇影城(BFC外滩金融中心店),Jiangwan Stadium,Lujiazui,8.2,25.2,19.6,52.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,和平影都,Jiangwan Stadium,People's Square,8.2,23.7,6.6,38.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,嘉定影剧院,Jiangwan Stadium,North Jiading,8.2,88.3,28.9,125.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,国泰电影院,Jiangwan Stadium,South Shaanxi Road,8.2,29.7,7.2,45.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,天山电影院-宛平剧院影城,Jiangwan Stadium,Shanghai Stadium,8.2,41.0,15.1,64.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,天山电影院-虹桥艺术中心旗舰店,Jiangwan Stadium,Loushanguan Road,8.2,40.1,5.4,53.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,寰映影城（大融城店）,Jiangwan Stadium,Xingzhi Road,8.2,39.7,14.0,61.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,星轶STARX影剧院（上海宝山日月光店）,Jiangwan Stadium,Changzhong Road,8.2,45.3,12.2,65.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,曹杨影城,Jiangwan Stadium,Fengqiao Road,8.2,34.0,12.9,55.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,朵云轩杜比全景声影城,Jiangwan Stadium,Longcao Road,8.2,44.1,12.1,64.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,沪东工人文化宫东宫影剧院,Jiangwan Stadium,Ningguo Road,8.2,25.2,23.0,56.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（五角场万达广场激光IMAX店）,黄浦剧场,Jiangwan Stadium,Qufu Road,8.2,21.7,13.0,42.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,CGV影城（松江印象城杜比ULTRA 4DX店）,North Jiangyang Road,Songjiang University Town,333.7,127.0,22.3,483.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,CGV影城（白玉兰广场IMAX店）,North Jiangyang Road,Tilanqiao,333.7,59.7,6.2,399.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,CGV影城（青浦天空万科广场IMAX店）,North Jiangyang Road,East Xujing,333.7,94.9,36.5,465.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,CMG融媒影城,North Jiangyang Road,Longhua Middle Road,333.7,69.6,16.5,419.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,MOViE MOViE影城（前滩太古里店）,North Jiangyang Road,Oriental Sports Center,333.7,78.7,5.9,418.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,SFC上影影城（丁香路LUXE店）,North Jiangyang Road,Middle Yanggao Road,333.7,70.5,10.1,414.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,SFC上影影城（国华广场店）,North Jiangyang Road,Jiangwan Stadium,333.7,57.9,12.6,404.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,SFC上影影城（港汇永华IMAX激光店）,North Jiangyang Road,Xujiahui,333.7,69.2,8.7,411.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,SFC上影百联影城（八佰伴IMAX店）,North Jiangyang Road,Shangcheng Road,333.7,68.8,8.1,410.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,SFC动漫主题影院（美罗城店）,North Jiangyang Road,Xujiahui,333.7,69.2,7.1,410.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,SFC永华电影荟（世纪汇店）,North Jiangyang Road,Pudian Road,333.7,68.5,11.3,413.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,UME影城（上海新天地店）,North Jiangyang Road,South Huangpi Road,333.7,57.4,9.3,400.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,万达影城（五角场万达广场激光IMAX店）,North Jiangyang Road,Jiangwan Stadium,333.7,57.9,8.2,399.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,万达影城（金山万达广场店）,North Jiangyang Road,Minhang Development Zone,333.7,128.1,390.8,852.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海大光明电影院,North Jiangyang Road,People's Square,333.7,54.6,9.9,398.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海市沪北电影院,North Jiangyang Road,North Xizang Road,333.7,46.3,13.9,393.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海影城SHO,North Jiangyang Road,Jiaotong University,333.7,67.3,8.3,409.3,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海百丽宫影城（万象城店）,North Jiangyang Road,Longbai Xincun,333.7,85.1,15.7,434.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海百丽宫影城（环贸iapm店）,North Jiangyang Road,South Shaanxi Road,333.7,60.6,8.2,402.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海百丽宫影城（长宁来福士店）,North Jiangyang Road,Zhongshan Park,333.7,67.8,9.2,410.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海百丽宫影城（陆家嘴中心店）,North Jiangyang Road,Shangcheng Road,333.7,68.8,6.4,408.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海百美汇影城（静安嘉里中心店）,North Jiangyang Road,Jing'an Temple,333.7,61.3,10.1,405.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海科技影城,North Jiangyang Road,South Shaanxi Road,333.7,60.6,13.6,407.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海美琪大戏院,North Jiangyang Road,West Nanjing Road,333.7,57.9,10.1,401.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,上海艺海剧院,North Jiangyang Road,West Nanjing Road,333.7,57.9,17.6,409.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,世纪友谊影城（LUXE南方商城店）,North Jiangyang Road,Lianhua Road,333.7,86.8,8.9,429.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,临港演艺中心,North Jiangyang Road,Dishui Lake,333.7,179.3,13.6,526.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,久事·上海商城剧院,North Jiangyang Road,Jing'an Temple,333.7,61.3,8.0,403.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,九棵树未来艺术中心,North Jiangyang Road, Jingping Road,333.7,118.8,166.7,619.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,佰映三克映画,North Jiangyang Road,Changping Road,333.7,62.2,15.1,411.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,兰心大戏院,North Jiangyang Road,South Shaanxi Road,333.7,60.6,10.7,405.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,博悦汇影城(BFC外滩金融中心店),North Jiangyang Road,Lujiazui,333.7,60.6,19.6,413.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,和平影都,North Jiangyang Road,People's Square,333.7,54.6,6.6,394.9,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,嘉定影剧院,North Jiangyang Road,North Jiading,333.7,119.2,28.9,481.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,国泰电影院,North Jiangyang Road,South Shaanxi Road,333.7,60.6,7.2,401.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,天山电影院-宛平剧院影城,North Jiangyang Road,Shanghai Stadium,333.7,71.9,15.1,420.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,天山电影院-虹桥艺术中心旗舰店,North Jiangyang Road,Loushanguan Road,333.7,71.1,5.4,410.1,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,寰映影城（大融城店）,North Jiangyang Road,Xingzhi Road,333.7,70.6,14.0,418.4,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,星轶STARX影剧院（上海宝山日月光店）,North Jiangyang Road,Changzhong Road,333.7,76.2,12.2,422.2,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,曹杨影城,North Jiangyang Road,Fengqiao Road,333.7,64.9,12.9,411.5,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,朵云轩杜比全景声影城,North Jiangyang Road,Longcao Road,333.7,75.0,12.1,420.8,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,沪东工人文化宫东宫影剧院,North Jiangyang Road,Ningguo Road,333.7,63.0,23.0,419.7,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（崇明万达广场店）,黄浦剧场,North Jiangyang Road,Qufu Road,333.7,51.9,13.0,398.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（金山万达广场店）,CGV影城（松江印象城杜比ULTRA 4DX店）,Minhang Development Zone,Songjiang University Town,390.8,113.5,22.3,526.6,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
万达影城（金山万达广场店）,CGV影城（白玉兰广场IMAX店）,Minhang Development Zone,Tilanqiao,390.8,84.1,6.2,481.0,"Estimated: nearest-station walk at 4.5km/h + 5m station access each side; MetroFlow 2017 station graph edge speed model, not live timetable."
